id,Name,Code
invert_colors_on,Invert Colors on,e891
ios_share,Ios Share,e6b8
iso,Iso,e3f6
keyboard,Keyboard,e312
keyboard_arrow_down,Keyboard Arrow Down,e313
keyboard_arrow_left,Keyboard Arrow Left,e314
keyboard_arrow_right,Keyboard Arrow Right,e315
keyboard_arrow_up,Keyboard Arrow Up,e316
keyboard_backspace,Keyboard Backspace,e317
keyboard_capslock,Keyboard Capslock,e318
keyboard_control,Keyboard Control,e5d3
keyboard_hide,Keyboard Hide,e31a
keyboard_return,Keyboard Return,e31b
keyboard_tab,Keyboard Tab,e31c
keyboard_voice,Keyboard Voice,e31d
king_bed,King Bed,ea45
kitchen,Kitchen,eb47
label,Label,e892
label_important,Label Important,e937
label_important_outline,Label Important Outline,e948
label_off,Label Off,e9b6
label_outline,Label Outline,e893
landscape,Landscape,e3f7
language,Language,e894
laptop,Laptop,e31e
laptop_chromebook,Laptop Chromebook,e31f
laptop_mac,Laptop Mac,e320
laptop_windows,Laptop Windows,e321
last_page,Last Page,e5dd
launch,Launch,e895
layers,Layers,e53b
layers_clear,Layers Clear,e53c
leaderboard,Leaderboard,f20c
leak_add,Leak Add,e3f8
leak_remove,Leak Remove,e3f9
leave_bags_at_home,Leave Bags at Home,f21b
legend_toggle,Legend Toggle,f11b
lens,Lens,e3fa
library_add,Library Add,e02e
library_add_check,Library Add Check,e9b7
library_books,Library Books,e02f
library_music,Library Music,e030
lightbulb,Lightbulb,e0f0
lightbulb_outline,Lightbulb Outline,e90f
line_style,Line Style,e919
line_weight,Line Weight,e91a
linear_scale,Linear Scale,e260
link,Link,e157
link_off,Link Off,e16f
linked_camera,Linked Camera,e438
liquor,Liquor,ea60
list,List,e896
list_alt,List Alt,e0ee
live_help,Live Help,e0c6
live_tv,Live Tv,e639
local_activity,Local Activity,e53f
local_airport,Local Airport,e53d
local_atm,Local Atm,e53e
local_attraction,Local Attraction,e53f
local_bar,Local Bar,e540
local_cafe,Local Cafe,e541
local_car_wash,Local Car Wash,e542
local_convenience_store,Local Convenience Store,e543
local_dining,Local Dining,e556
local_drink,Local Drink,e544
local_fire_department,Local Fire Department,ef55
local_florist,Local Florist,e545
local_gas_station,Local Gas Station,e546
local_grocery_store,Local Grocery Store,e547
local_hospital,Local Hospital,e548
local_hotel,Local Hotel,e549
local_laundry_service,Local Laundry Service,e54a
local_library,Local Library,e54b
local_mall,Local Mall,e54c
local_movies,Local Movies,e54d
local_offer,Local Offer,e54e
local_parking,Local Parking,e54f
local_pharmacy,Local Pharmacy,e550
local_phone,Local Phone,e551
local_pizza,Local Pizza,e552
local_play,Local Play,e553
local_police,Local Police,ef56
local_post_office,Local Post Office,e554
local_print_shop,Local Print Shop,e555
local_printshop,Local Printshop,e555
local_restaurant,Local Restaurant,e556
local_see,Local See,e557
local_shipping,Local Shipping,e558
local_taxi,Local Taxi,e559
location_city,Location City,e7f1
location_disabled,Location Disabled,e1b6
location_history,Location History,e55a
location_off,Location Off,e0c7
location_on,Location on,e0c8
location_pin,Location Pin,f1db
location_searching,Location Searching,e1b7
lock,Lock,e897
lock_clock,Lock Clock,ef57
lock_open,Lock Open,e898
lock_outline,Lock Outline,e899
login,Login,ea77
logout,Logout,e9ba
looks,Looks,e3fc
looks_3,Looks 3,e3fb
looks_4,Looks 4,e3fd
looks_5,Looks 5,e3fe
looks_6,Looks 6,e3ff
looks_one,Looks One,e400
looks_two,Looks Two,e401
loop,Loop,e028
loupe,Loupe,e402
low_priority,Low Priority,e16d
loyalty,Loyalty,e89a
luggage,Luggage,f235
lunch_dining,Lunch Dining,ea61
mail,Mail,e158
mail_outline,Mail Outline,e0e1
map,Map,e55b
maps_ugc,Maps Ugc,ef58
margin,Margin,e9bb
mark_as_unread,Mark as Unread,e9bc
mark_chat_read,Mark Chat Read,f18b
mark_chat_unread,Mark Chat Unread,f189
mark_email_read,Mark Email Read,f18c
mark_email_unread,Mark Email Unread,f18a
markunread,Markunread,e159
markunread_mailbox,Markunread Mailbox,e89b
masks,Masks,f218
maximize,Maximize,e930
mediation,Mediation,efa7
medical_services,Medical Services,f109
meeting_room,Meeting Room,eb4f
memory,Memory,e322
menu,Menu,e5d2
menu_book,Menu Book,ea19
menu_open,Menu Open,e9bd
merge_type,Merge Type,e252
message,Message,e0c9
